source,target,weight
45,67,1.0
45,100,1.0
45,132,1.0
45,159,1.0
45,187,1.0
45,284,1.0
45,314,1.0
49,67,1.0
49,100,1.0
49,122,1.0
49,159,1.0
49,166,1.0
49,185,1.0
49,207,1.0
49,221,1.0
49,235,1.0
49,245,1.0
49,314,1.0
49,363,1.0
52,159,1.0
387,53,1.0
55,159,0.8208955223880597
57,159,0.8108108108108109
58,166,0.8326180257510729
59,159,0.8157894736842105
59,166,0.8157894736842105
59,185,0.881578947368421
206,64,1.0
65,159,0.8235294117647058
68,67,1.0
124,67,1.0
174,67,1.0
316,67,1.0
431,67,1.0
432,67,1.0
68,73,1.0
68,159,1.0
68,171,1.0
68,185,1.0
68,200,1.0
68,207,1.0
68,228,1.0
68,245,1.0
68,248,1.0
68,377,1.0
68,395,1.0
68,410,1.0
72,159,0.8333333333333334
91,73,1.0
98,73,0.9
115,73,0.8429752066115702
130,73,1.0
136,73,0.8888888888888888
158,73,0.8333333333333334
161,73,1.0
215,73,1.0
227,73,0.8333333333333334
254,73,1.0
330,73,0.8666666666666667
339,73,0.875
357,73,0.8333333333333334
405,73,0.9333333333333333
431,73,0.8333333333333334
75,159,0.8022388059701493
136,76,0.8888888888888888
76,159,0.8364389233954451
165,76,1.0
432,76,1.0
77,166,0.8446601941747572
79,78,1.0
91,78,0.8571428571428571
183,78,1.0
215,78,1.0
223,78,1.0
224,78,0.8333333333333334
312,78,1.0
364,78,0.875
374,78,1.0
425,78,1.0
432,78,1.0
79,221,1.0
79,245,1.0
79,284,1.0
79,377,1.0
81,159,1.0
81,192,1.0
88,334,1.0
89,159,1.0
89,390,1.0
91,96,1.0
91,114,0.8571428571428571
91,125,1.0
91,132,0.8571428571428571
91,149,0.8571428571428571
91,159,1.0
91,166,1.0
91,177,0.8571428571428571
91,200,1.0
91,245,0.8571428571428571
91,269,1.0
91,284,0.8571428571428571
91,336,1.0
91,410,0.8571428571428571
325,93,1.0
215,96,1.0
97,159,1.0
98,159,0.9
98,166,1.0
101,100,1.0
270,100,0.8666666666666667
312,100,1.0
316,100,1.0
339,100,0.875
431,100,0.8333333333333334
101,120,1.0
101,185,1.0
101,284,1.0
101,343,1.0
106,159,1.0
106,245,1.0
106,284,1.0
106,314,1.0
289,113,1.0
115,114,0.8429752066115702
215,114,1.0
115,149,0.8264462809917356
115,159,0.9421487603305785
115,166,0.9008264462809917
312,120,1.0
432,120,1.0
215,122,1.0
123,159,1.0
123,207,1.0
124,159,1.0
127,395,1.0
128,141,0.8333333333333334
128,159,0.8333333333333334
128,166,0.8333333333333334
128,200,1.0
131,245,1.0
215,132,1.0
431,132,0.8333333333333334
432,132,1.0
425,134,1.0
136,149,0.8888888888888888
136,159,1.0
137,166,0.8389261744966443
224,139,0.8333333333333334
141,159,0.8235294117647058
141,200,1.0
144,395,1.0
165,149,1.0
223,149,1.0
316,149,1.0
152,159,1.0
152,184,1.0
154,159,0.8181818181818182
155,159,1.0
155,207,0.8333333333333334
158,159,0.8333333333333334
158,245,0.8333333333333334
160,159,0.8356164383561644
